,alpha,bw,cell_size,convex_hull,convex_hull_buffer,kernel,s,year
0,1,25,25,True,1,biweight,0.792,1880
1,1,25,25,True,1,triangle,0.792,1880
2,1,25,25,True,1,epanechnikov,0.787,1880
3,1,25,25,True,1,uniform,0.769,1880
4,1,25,25,True,1,gaussian,0.615,1880
5,1,50,25,True,1,biweight,0.679,1880
6,1,50,25,True,1,triangle,0.677,1880
7,1,50,25,True,1,epanechnikov,0.666,1880
8,1,50,25,True,1,uniform,0.624,1880
9,1,50,25,True,1,gaussian,0.466,1880
10,1,100,25,True,1,biweight,0.516,1880
11,1,100,25,True,1,triangle,0.515,1880
12,1,100,25,True,1,epanechnikov,0.505,1880
13,1,100,25,True,1,uniform,0.468,1880
14,1,100,25,True,1,gaussian,0.317,1880
15,1,150,25,True,1,biweight,0.437,1880
16,1,150,25,True,1,triangle,0.436,1880
17,1,150,25,True,1,epanechnikov,0.425,1880
18,1,150,25,True,1,uniform,0.393,1880
19,1,150,25,True,1,gaussian,0.22,1880
20,1,250,25,True,1,biweight,0.327,1880
21,1,250,25,True,1,triangle,0.325,1880
22,1,250,25,True,1,epanechnikov,0.311,1880
23,1,250,25,True,1,uniform,0.275,1880
24,1,250,25,True,1,gaussian,0.117,1880
25,1,25,50,True,1,biweight,0.758,1880
26,1,25,50,True,1,triangle,0.758,1880
27,1,25,50,True,1,epanechnikov,0.749,1880
28,1,25,50,True,1,uniform,0.717,1880
29,1,25,50,True,1,gaussian,0.613,1880
30,1,50,50,True,1,biweight,0.674,1880
31,1,50,50,True,1,triangle,0.671,1880
32,1,50,50,True,1,epanechnikov,0.657,1880
33,1,50,50,True,1,uniform,0.601,1880
34,1,50,50,True,1,gaussian,0.469,1880
35,1,100,50,True,1,biweight,0.52,1880
36,1,100,50,True,1,triangle,0.518,1880
37,1,100,50,True,1,epanechnikov,0.508,1880
38,1,100,50,True,1,uniform,0.467,1880
39,1,100,50,True,1,gaussian,0.319,1880
40,1,150,50,True,1,biweight,0.436,1880
41,1,150,50,True,1,triangle,0.434,1880
42,1,150,50,True,1,epanechnikov,0.423,1880
43,1,150,50,True,1,uniform,0.395,1880
44,1,150,50,True,1,gaussian,0.221,1880
45,1,250,50,True,1,biweight,0.326,1880
46,1,250,50,True,1,triangle,0.325,1880
47,1,250,50,True,1,epanechnikov,0.311,1880
48,1,250,50,True,1,uniform,0.274,1880
49,1,250,50,True,1,gaussian,0.118,1880
50,1,25,75,True,1,biweight,0.777,1880
51,1,25,75,True,1,triangle,0.778,1880
52,1,25,75,True,1,epanechnikov,0.775,1880
53,1,25,75,True,1,uniform,0.777,1880
54,1,25,75,True,1,gaussian,0.593,1880
55,1,50,75,True,1,biweight,0.675,1880
56,1,50,75,True,1,triangle,0.674,1880
57,1,50,75,True,1,epanechnikov,0.665,1880
58,1,50,75,True,1,uniform,0.588,1880
59,1,50,75,True,1,gaussian,0.463,1880
60,1,100,75,True,1,biweight,0.516,1880
61,1,100,75,True,1,triangle,0.514,1880
62,1,100,75,True,1,epanechnikov,0.503,1880
63,1,100,75,True,1,uniform,0.463,1880
64,1,100,75,True,1,gaussian,0.315,1880
65,1,150,75,True,1,biweight,0.434,1880
66,1,150,75,True,1,triangle,0.432,1880
67,1,150,75,True,1,epanechnikov,0.421,1880
68,1,150,75,True,1,uniform,0.389,1880
69,1,150,75,True,1,gaussian,0.222,1880
70,1,250,75,True,1,biweight,0.325,1880
71,1,250,75,True,1,triangle,0.324,1880
72,1,250,75,True,1,epanechnikov,0.31,1880
73,1,250,75,True,1,uniform,0.268,1880
74,1,250,75,True,1,gaussian,0.118,1880
75,1,25,25,True,1,biweight,0.875,1920
76,1,25,25,True,1,triangle,0.875,1920
77,1,25,25,True,1,epanechnikov,0.871,1920
